phenotype,medium,color,motile_fraction,run_speed_um_s,rotational_diffusion_rad2_s,reorientation_rate_s,reorientation_duration_s,turn_angle_sd_rad,passive_diffusion_um2_s,stall_probability,stall_mean_duration_s
PproA,liquid,#D55E00,0.634786,19.865601,1.933177,1.953612,0.05,0.632777,0.35,0.00,0.05
PproA,agarose,#D55E00,0.420206,15.420220,8.247918,12.677404,0.05,0.803552,0.35,0.145575,1.813134
WT,agarose,#7A7A7A,0.731999,23.192322,9.542291,12.720412,0.05,0.746008,0.35,0.277361,0.735375
WT,liquid,#7A7A7A,0.800525,27.614255,1.316299,2.025875,0.05,0.645632,0.35,0.00,0.05
WT_slow,agarose,#999999,0.731999,10.0,9.542291,12.720412,0.05,0.746008,0.35,0.277361,0.735375
WT_slow,liquid,#999999,0.800525,10.0,1.316299,2.025875,0.05,0.645632,0.35,0.00,0.05
PproB,agarose,#0072B2,0.748045,28.646786,1.341910,1.775818,0.05,0.327675,0.35,0.087004,0.298256
PproB,liquid,#0072B2,0.860382,31.967514,1.570732,1.890592,0.05,0.301403,0.35,0.00,0.05
